Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	cluster
Disease Ontology	DOID:3113	papillary carcinoma	110	2.287608e-05	0.05112804	0.0004648004	3.305069	5.143614	17	0.01563409	0.05167173	90	0.0002326792	0.520038	0.0057782	3.182266	4.085139	13	134	0.02363636	0.09701493	C2
Disease Ontology	DOID:8398	osteoarthritis	111	2.344452e-05	0.0523985	0.0004720586	2.844225	7.383382	21	0.02244189	0.06382979	89	0.0001907312	0.4262842	0.00478971	2.821662	5.670417	16	186	0.02909091	0.08602151	C2
Disease Ontology	DOID:3371	chondrosarcoma	113	2.467165e-05	0.05514114	0.0004879747	4.420182	2.71482	12	0.008251733	0.03647416	98	0.0004001499	0.894335	0.009125868	4.447704	1.798681	8	59	0.01454545	0.1355932	C2
Disease Ontology	DOID:657	adenoma	114	2.511876e-05	0.05614043	0.0004924599	2.163301	15.71672	34	0.04777118	0.1033435	93	0.0002814446	0.6290287	0.006763749	2.08388	12.9566	27	425	0.04909091	0.06352941	C2
Disease Ontology	DOID:2529	splenic disease	115	3.041653e-05	0.06798094	0.0005911386	8.168803	0.8569187	7	0.002604616	0.0212766	91	0.0002376938	0.5312456	0.005837864	11.92793	0.3353473	4	11	0.007272727	0.3636364	C2
Disease Ontology	DOID:10159	osteonecrosis	119	3.644179e-05	0.0814474	0.0006844319	6.621624	1.208163	8	0.003672227	0.02431611	118	0.001196891	1	0.02266993	6.074411	0.8231251	5	27	0.009090909	0.1851852	C2
Disease Ontology	DOID:5616	intraepithelial neoplasm	120	3.739727e-05	0.0835829	0.0006965242	4.231914	2.835596	12	0.008618833	0.03647416	146	0.00299842	1	0.04590047	3.280182	2.438889	8	80	0.01454545	0.1	C2
Disease Ontology	DOID:175	neoplasm in vascular tissue	126	5.499867e-05	0.122922	0.0009755716	6.239949	1.282062	8	0.003896844	0.02431611	118	0.001196891	1	0.02266993	6.074411	0.8231251	5	27	0.009090909	0.1851852	C2
Disease Ontology	DOID:50	thyroid gland disease	131	7.842441e-05	0.1752786	0.001338004	2.195914	13.20634	29	0.04014086	0.0881459	126	0.001334448	1	0.02367057	2.001172	11.49327	23	377	0.04181818	0.06100796	C2
Disease Ontology	DOID:8505	dermatitis herpetiformis	132	8.01757e-05	0.1791927	0.00135752	18.20631	0.219704	4	0.0006677934	0.01215805	127	0.00140731	1	0.02476644	12.30068	0.2438889	3	8	0.005454545	0.375	C2
Disease Ontology	DOID:3112	papillary adenocarcinoma	134	8.295902e-05	0.1854134	0.001383682	3.424279	4.088452	14	0.01242691	0.04255319	115	0.001103556	1	0.02144737	3.215865	3.109584	10	102	0.01818182	0.09803922	C2
Disease Ontology	DOID:5070	neoplasm of body of uterus	135	8.655818e-05	0.1934575	0.001433019	3.410287	4.105226	14	0.01247789	0.04255319	128	0.001706301	1	0.02979362	3.037205	3.2925	10	108	0.01818182	0.09259259	C2
Disease Ontology	DOID:10009	malignant neoplasm of endocrine gland	136	8.820235e-05	0.1971323	0.001449502	2.349517	10.64049	25	0.0323419	0.07598784	114	0.001098973	1	0.02154565	2.210052	8.597084	19	282	0.03454545	0.06737589	C2
Disease Ontology	DOID:3459	breast carcinoma	141	0.0001027846	0.2297236	0.001629245	2.095529	14.7934	31	0.04496474	0.09422492	110	0.0009737347	1	0.01978452	2.013411	11.92007	24	391	0.04363636	0.06138107	C2
Disease Ontology	DOID:4450	renal cell carcinoma	156	0.0001871534	0.4182878	0.002681332	2.236183	11.17976	25	0.03398104	0.07598784	94	0.0003350324	0.7487974	0.00796593	2.262194	9.725071	22	319	0.04	0.06896552	C2
Disease Ontology	DOID:3969	papillary thyroid carcinoma	158	0.000189178	0.4228128	0.002676031	3.337539	3.895086	13	0.01183917	0.03951368	144	0.002821954	1	0.04379908	3.043468	2.957153	9	97	0.01636364	0.09278351	C2
Disease Ontology	DOID:3490	Noonan syndrome	169	0.0002227111	0.4977593	0.002945321	9.402533	0.5317716	5	0.001616327	0.01519757	129	0.001859791	1	0.03222196	7.289293	0.5487501	4	18	0.007272727	0.2222222	C2
Disease Ontology	DOID:4947	cholangiocarcinoma	174	0.0002648794	0.5920055	0.00340233	3.221433	4.035471	13	0.01226587	0.03951368	116	0.001108878	1	0.02136502	3.006833	3.658334	11	120	0.02	0.09166667	C2
Disease Ontology	DOID:3007	ductal carcinoma	175	0.0002654537	0.593289	0.003390223	2.44847	8.168366	20	0.02482786	0.06079027	143	0.002813707	1	0.04397647	2.342987	5.975279	14	196	0.02545455	0.07142857	C2
Disease Ontology	DOID:0080008	avascular bone disease	176	0.0002727774	0.6096575	0.003463963	4.374239	2.057501	9	0.006253802	0.02735562	136	0.00231705	1	0.03807799	4.373576	1.371875	6	45	0.01090909	0.1333333	C2
Disease Ontology	DOID:5100	middle ear disease	186	0.0003789304	0.8469094	0.004553277	4.178676	2.153792	9	0.006546481	0.02735562	148	0.003232883	1	0.0488209	4.100227	1.463334	6	48	0.01090909	0.125	C2
Disease Ontology	DOID:2692	muscle tissue neoplasm	199	0.000508659	1	0.005712828	2.63012	6.083373	16	0.0184905	0.04863222	135	0.002287522	1	0.0378712	2.493705	5.213126	13	171	0.02363636	0.07602339	C2
Disease Ontology	DOID:4897	bile duct carcinoma	211	0.0006125393	1	0.006488272	2.94326	4.416871	13	0.01342514	0.03951368	138	0.002387285	1	0.03866364	2.733485	4.024167	11	132	0.02	0.08333333	C2
Disease Ontology	DOID:4606	bile duct cancer	214	0.0006247137	1	0.006524463	2.93691	4.426421	13	0.01345417	0.03951368	139	0.002532958	1	0.04072778	2.712932	4.054653	11	133	0.02	0.08270677	C2
Disease Ontology	DOID:4451	renal carcinoma	217	0.0006311438	1	0.00650049	2.022316	12.85654	26	0.03907764	0.07902736	102	0.0006942164	1	0.01521151	2.101509	10.94452	23	359	0.04181818	0.06406685	C2
Disease Ontology	DOID:4971	myelofibrosis	238	0.0008386751	1	0.007875793	3.7327	2.411123	9	0.007328642	0.02735562	148	0.003232883	1	0.0488209	4.100227	1.463334	6	48	0.01090909	0.125	C2
Disease Ontology	DOID:12510	retinal ischemia	245	0.001008009	1	0.009195511	15.65818	0.1915932	3	0.0005823501	0.009118541	142	0.002726926	1	0.04292028	21.86788	0.09145834	2	3	0.003636364	0.6666667	C2
Disease Ontology	DOID:4074	pancreas adenocarcinoma	256	0.001162968	1	0.01015326	2.517186	5.959034	15	0.01811257	0.04559271	141	0.002712884	1	0.0430021	2.555986	4.694862	12	154	0.02181818	0.07792208	C2
Disease Ontology	DOID:2513	basal cell carcinoma	279	0.002217367	1	0.01776278	3.233869	2.783044	9	0.008459101	0.02735562	150	0.003256734	1	0.04852534	3.587699	1.951111	7	64	0.01272727	0.109375	C2
Disease Ontology	DOID:3451	skin carcinoma	281	0.002244549	1	0.01785255	2.810976	3.913232	11	0.01189432	0.03343465	134	0.002275342	1	0.03795067	3.1406	2.865695	9	94	0.01636364	0.09574468	C2
MSigDB Pathway	PID_INTEGRIN1_PATHWAY	Beta1 integrin cell surface interactions	1	3.248422e-09	4.287917e-06	4.287917e-06	6.333994	2.68393	17	0.008157843	0.05167173	5	2.904311e-05	0.03833691	0.007667381	4.969972	2.012084	10	66	0.01818182	0.1515152	C2
MSigDB Pathway	PID_NFAT_3PATHWAY	Role of Calcineurin-dependent NFAT signaling in lymphocytes	2	7.618795e-09	1.005681e-05	5.028405e-06	7.680137	1.822884	14	0.005540681	0.04255319	6	3.333935e-05	0.04400794	0.007334657	5.46697	1.64625	9	54	0.01636364	0.1666667	C2
MSigDB Pathway	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	Pathogenic Escherichia coli infection	3	1.267031e-07	0.0001672481	5.574936e-05	7.437469	1.613452	12	0.00490411	0.03647416	17	0.0002776514	0.3664998	0.02155881	4.685974	1.707222	8	56	0.01454545	0.1428571	C2
MSigDB Pathway	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	Genes involved in Platelet activation, signaling and aggregation	4	2.231236e-07	0.0002945232	7.363079e-05	3.571373	6.440101	23	0.01957477	0.06990881	8	3.754943e-05	0.04956525	0.006195656	2.981983	6.036251	18	198	0.03272727	0.09090909	C2
MSigDB Pathway	PID_ERBB1_DOWNSTREAM_PATHWAY	ErbB1 downstream signaling	5	1.03911e-06	0.001371625	0.000274325	4.447915	3.597191	16	0.01093371	0.04863222	4	2.031955e-05	0.02682181	0.006705452	4.022864	3.231528	13	106	0.02363636	0.1226415	C2
MSigDB Pathway	KEGG_FOCAL_ADHESION	Focal adhesion	6	1.124829e-06	0.001484774	0.0002474624	3.145935	7.628894	24	0.02318813	0.07294833	2	3.113021e-06	0.004109188	0.002054594	3.296665	6.066737	20	199	0.03636364	0.1005025	C2
MSigDB Pathway	PID_IL3_PATHWAY	IL3-mediated signaling events	7	1.184678e-06	0.001563775	0.0002233964	10.67515	0.7494042	8	0.002277824	0.02431611	37	0.001196891	1	0.0426999	6.074411	0.8231251	5	27	0.009090909	0.1851852	C2
MSigDB Pathway	SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	Genes related to PIP3 signaling in cardiac myocytes	8	3.926891e-06	0.005183496	0.000647937	4.891033	2.657925	13	0.0080788	0.03951368	31	0.0009515903	1	0.04051933	3.916635	2.04257	8	67	0.01454545	0.119403	C2
MSigDB Pathway	PID_PDGFRBPATHWAY	PDGFR-beta signaling pathway	10	5.28584e-06	0.006977309	0.0006977309	3.908166	4.093992	16	0.01244375	0.04863222	24	0.0006293814	0.8307834	0.03461598	3.02786	3.963195	12	130	0.02181818	0.09230769	C2
MSigDB Pathway	PID_HIF1_TFPATHWAY	HIF-1-alpha transcription factor network	12	1.475011e-05	0.01947015	0.001622512	4.661686	2.574176	12	0.007824244	0.03647416	13	0.0001678208	0.2215235	0.01704027	4.472975	2.012084	9	66	0.01636364	0.1363636	C2
MSigDB Pathway	PID_ATF2_PATHWAY	ATF-2 transcription factor network	13	1.810153e-05	0.02389402	0.001838002	4.989341	2.2047	11	0.006701216	0.03343465	10	6.881718e-05	0.09083868	0.009083868	5.003667	1.798681	9	59	0.01636364	0.1525424	C2
MSigDB Pathway	PID_IGF1_PATHWAY	IGF1 pathway	15	2.70747e-05	0.0357386	0.002382574	5.95919	1.510272	9	0.004590493	0.02735562	14	0.0002485173	0.3280428	0.02343163	6.560364	0.9145834	6	30	0.01090909	0.2	C2
MSigDB Pathway	PID_IL4_2PATHWAY	IL4-mediated signaling events	17	2.89333e-05	0.03819196	0.002246586	5.238032	1.909114	10	0.005802778	0.03039514	23	0.0005633364	0.743604	0.03233061	4.232493	1.890139	8	62	0.01454545	0.1290323	C2
MSigDB Pathway	KEGG_TYPE_II_DIABETES_MELLITUS	Type II diabetes mellitus	26	0.0002205225	0.2910897	0.01119576	4.504405	1.998044	9	0.006073082	0.02735562	11	9.131068e-05	0.1205301	0.01095728	5.46697	1.463334	8	48	0.01454545	0.1666667	C2
MSigDB Pathway	KEGG_PATHWAYS_IN_CANCER	Pathways in cancer	32	0.0004328827	0.5714052	0.01785641	2.009475	13.93399	28	0.04235254	0.08510638	36	0.001132679	1	0.04153156	2.106539	9.96896	21	327	0.03818182	0.06422018	C2
MSigDB Pathway	REACTOME_AXON_GUIDANCE	Genes involved in Axon guidance	34	0.0004564359	0.6024954	0.01772045	2.143993	11.19407	24	0.03402453	0.07294833	1	1.318709e-06	0.001740696	0.001740696	3.143508	7.316668	23	240	0.04181818	0.09583333	C2
MSigDB Pathway	KEGG_ECM_RECEPTOR_INTERACTION	ECM-receptor interaction	39	0.0006496341	0.857517	0.02198762	3.291762	3.341675	11	0.01015707	0.03343465	16	0.0002568705	0.3390691	0.02119182	3.859037	2.59132	10	85	0.01818182	0.1176471	C2
MSigDB Pathway	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	Regulation of actin cytoskeleton	40	0.0006920857	0.9135531	0.02283883	2.392978	7.522008	18	0.02286325	0.05471125	28	0.0008155761	1	0.03844859	2.475609	6.463056	16	212	0.02909091	0.0754717	C2
MSigDB Pathway	BIOCARTA_SPPA_PATHWAY	Aspirin Blocks Signaling Pathway Involved in Platelet Activation	42	0.0008841809	1	0.02778854	5.519247	1.087105	6	0.00330427	0.01823708	21	0.0004427326	0.584407	0.02782891	7.454959	0.6706945	5	22	0.009090909	0.2272727	C2
MSigDB Pathway	REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	Genes involved in NOTCH1 Intracellular Domain Regulates Transcription	43	0.0008967173	1	0.02752714	3.696775	2.434554	9	0.007399861	0.02735562	18	0.0003389625	0.4474305	0.02485725	5.218471	1.341389	7	44	0.01272727	0.1590909	C2
MSigDB Pathway	REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	Genes involved in NCAM signaling for neurite out-growth	44	0.0009948272	1	0.02984482	3.641517	2.471497	9	0.00751215	0.02735562	26	0.0006992904	0.9230633	0.03550244	4.100227	1.951111	8	64	0.01454545	0.125	C2
MSigDB Pathway	PID_FAK_PATHWAY	Signaling events mediated by focal adhesion kinase	49	0.00126335	1	0.0340331	3.516536	2.559337	9	0.007779139	0.02735562	20	0.0004001499	0.5281979	0.02640989	4.447704	1.798681	8	59	0.01454545	0.1355932	C2
MSigDB Pathway	REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	Genes involved in Effects of PIP2 hydrolysis	52	0.00165149	1	0.04192244	4.876371	1.230423	6	0.003739888	0.01823708	21	0.0004427326	0.584407	0.02782891	7.454959	0.6706945	5	22	0.009090909	0.2272727	C2
MSigDB Pathway	KEGG_LONG_TERM_POTENTIATION	Long-term potentiation	57	0.001914883	1	0.04434466	3.061698	3.266161	10	0.009927542	0.03039514	9	4.896768e-05	0.06463734	0.007181926	4.685974	2.134028	10	70	0.01818182	0.1428571	C2
MSigDB Pathway	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	Vascular smooth muscle contraction	60	0.00199328	1	0.04385216	2.702128	4.440945	12	0.01349831	0.03647416	27	0.0007237668	0.9553722	0.03538415	3.165088	3.475417	11	114	0.02	0.09649123	C2
MSigDB Pathway	REACTOME_NCAM1_INTERACTIONS	Genes involved in NCAM1 interactions	62	0.002186882	1	0.04655942	3.978783	1.759332	7	0.005347514	0.0212766	34	0.001082677	1	0.04203334	5.046434	1.188958	6	39	0.01090909	0.1538462	C2
GO Biological Process	GO:0034097	response to cytokine stimulus	9	2.353553e-07	0.002457109	0.0002730121	2.337728	18.82169	44	0.04481356	0.1047619	39	1.92375e-05	0.2008395	0.005149731	2.027363	19.73006	40	525	0.05899705	0.07619048	C3
GO Biological Process	GO:0001775	cell activation	11	5.153279e-07	0.005380023	0.000489093	2.093233	24.84196	52	0.05914753	0.1238095	67	0.0001017577	1	0.01585598	1.880505	21.27088	40	566	0.05899705	0.07067138	C3
GO Biological Process	GO:0051707	response to other organism	15	9.037965e-07	0.009435635	0.0006290424	2.222231	19.79993	44	0.04714268	0.1047619	98	0.0003296957	1	0.03512268	1.776904	22.51106	40	599	0.05899705	0.06677796	C3
GO Biological Process	GO:0009607	response to biotic stimulus	17	1.081891e-06	0.01129494	0.0006644084	2.182861	20.61514	45	0.04908367	0.1071429	105	0.0003879502	1	0.03857333	1.748357	23.45058	41	624	0.06047198	0.06570513	C3
GO Biological Process	GO:0045321	leukocyte activation	21	1.576363e-06	0.01645723	0.0007836776	2.341578	16.22837	38	0.03863898	0.09047619	75	0.0001647425	1	0.02293216	2.116636	13.22854	28	352	0.04129794	0.07954545	C3
GO Biological Process	GO:0002684	positive regulation of immune system process	23	1.624273e-06	0.01695741	0.0007372787	2.04761	24.41872	50	0.0581398	0.1190476	46	2.628484e-05	0.2744137	0.005965516	1.925662	22.84929	44	608	0.06489676	0.07236842	C3
GO Biological Process	GO:2001235	positive regulation of apoptotic signaling pathway	24	1.741468e-06	0.01818093	0.0007575386	5.293046	2.456053	13	0.005847745	0.03095238	37	1.46794e-05	0.1532529	0.004141971	4.79837	2.292445	11	61	0.01622419	0.1803279	C3
GO Biological Process	GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	26	2.195301e-06	0.02291894	0.0008814978	7.097422	1.408962	10	0.003354672	0.02380952	29	8.128964e-06	0.08486638	0.002926427	7.340454	1.089851	8	29	0.01179941	0.2758621	C3
GO Biological Process	GO:0071345	cellular response to cytokine stimulus	28	2.353501e-06	0.02457055	0.0008775197	2.403471	14.56227	35	0.03467208	0.08333333	86	0.0002437797	1	0.02959372	1.957454	16.34776	32	435	0.04719764	0.07356322	C3
GO Biological Process	GO:0002694	regulation of leukocyte activation	35	3.968681e-06	0.04143303	0.001183801	2.279762	16.22977	37	0.0386423	0.08809524	31	9.463792e-06	0.09880199	0.003187161	2.35681	13.15337	31	350	0.04572271	0.08857143	C3
GO Biological Process	GO:0060333	interferon-gamma-mediated signaling pathway	42	6.767781e-06	0.07065563	0.001682277	5.569767	1.974948	11	0.004702257	0.02619048	24	2.315345e-06	0.0241722	0.001007175	5.234586	2.292445	12	61	0.01769912	0.1967213	C3
GO Biological Process	GO:0051249	regulation of lymphocyte activation	43	7.132791e-06	0.07446634	0.001731775	2.352618	14.02693	33	0.03339744	0.07857143	54	3.981141e-05	0.4156311	0.007696873	2.340218	11.53739	27	307	0.03982301	0.08794788	C3
GO Biological Process	GO:2001236	regulation of extrinsic apoptotic signaling pathway	45	8.471241e-06	0.08843976	0.001965328	3.774681	4.238769	16	0.01009231	0.03809524	35	1.20022e-05	0.125303	0.003580085	3.921348	3.570201	14	95	0.02064897	0.1473684	C3
GO Biological Process	GO:0050865	regulation of cell activation	47	9.307675e-06	0.09717213	0.002067492	2.165298	17.54954	38	0.04178463	0.09047619	38	1.800686e-05	0.1879916	0.004947148	2.246682	14.24322	32	379	0.04719764	0.08443272	C3
GO Biological Process	GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	49	1.228881e-05	0.1282952	0.002618269	2.895239	7.598683	22	0.0180921	0.05238095	110	0.0004591977	1	0.04358204	2.513086	6.764592	17	180	0.02507375	0.09444444	C3
GO Biological Process	GO:0071346	cellular response to interferon-gamma	52	1.545879e-05	0.1613898	0.003103649	4.304923	3.019798	13	0.007189996	0.03095238	23	2.025114e-06	0.02114219	0.0009192257	4.543025	3.081647	14	82	0.02064897	0.1707317	C3
GO Biological Process	GO:2001233	regulation of apoptotic signaling pathway	53	2.113542e-05	0.2206538	0.004163279	2.792398	7.878532	22	0.01875841	0.05238095	83	0.0002295307	1	0.02887109	2.50284	7.591375	19	202	0.0280236	0.09405941	C3
GO Biological Process	GO:2001239	regulation of extrinsic apoptotic signaling pathway in absence of ligand	54	2.209768e-05	0.2306998	0.004272218	6.131696	1.467783	9	0.003494722	0.02142857	61	5.604556e-05	0.5851156	0.00959206	5.753329	1.390499	8	37	0.01179941	0.2162162	C3
GO Biological Process	GO:0034341	response to interferon-gamma	58	2.593811e-05	0.2707939	0.00466886	3.834568	3.650998	14	0.008692852	0.03333333	28	4.715104e-06	0.04922569	0.00175806	3.991372	3.758107	15	100	0.02212389	0.15	C3
GO Biological Process	GO:0051272	positive regulation of cellular component movement	79	7.25727e-05	0.757659	0.00959062	2.117463	15.11243	32	0.03598197	0.07619048	7	9.741842e-08	0.001017048	0.0001452926	3.05006	9.50801	29	253	0.04277286	0.1146245	C3
GO Biological Process	GO:0044243	multicellular organismal catabolic process	89	0.000108573	1	0.01273598	3.786329	3.169297	12	0.007545944	0.02857143	119	0.0005351946	1	0.04695321	3.501203	2.856161	10	76	0.01474926	0.1315789	C3
GO Biological Process	GO:0030335	positive regulation of cell migration	93	0.0001277201	1	0.01433761	2.080951	14.89703	31	0.03546913	0.07380952	13	1.328736e-07	0.0013872	0.0001067077	3.078744	9.094618	28	242	0.04129794	0.1157025	C3
GO Biological Process	GO:2000147	positive regulation of cell motility	96	0.0001355588	1	0.01474202	2.073858	14.94798	31	0.03559044	0.07380952	16	2.041952e-07	0.002131798	0.0001332374	3.016421	9.282523	28	247	0.04129794	0.1133603	C3
GO Biological Process	GO:0032496	response to lipopolysaccharide	167	0.0007677592	1	0.04799644	2.202655	9.533947	21	0.02269987	0.05	100	0.0003332973	1	0.03479624	2.430643	7.816862	19	208	0.0280236	0.09134615	C3
Disease Ontology	DOID:10952	nephritis	1	5.076426e-10	1.134581e-06	1.134581e-06	3.681065	8.693135	32	0.02069794	0.07619048	2	2.001754e-08	4.47392e-05	2.23696e-05	3.454072	7.816862	27	208	0.03982301	0.1298077	C3
Disease Ontology	DOID:2921	glomerulonephritis	2	1.131608e-08	2.529144e-05	1.264572e-05	3.941239	6.343183	25	0.01510282	0.05952381	1	1.437346e-08	3.212468e-05	3.212468e-05	4.151781	5.29893	22	141	0.03244838	0.1560284	C3
Disease Ontology	DOID:2986	IgA glomerulonephritis	4	1.464336e-07	0.0003272791	8.181977e-05	4.868972	3.491497	17	0.008313087	0.04047619	5	1.461946e-07	0.0003267449	6.534899e-05	5.1836	2.893742	15	77	0.02212389	0.1948052	C3
Disease Ontology	DOID:617	Retroviridae infectious disease	5	5.411111e-07	0.001209383	0.0002418767	3.665899	5.728472	21	0.01363922	0.05	22	5.795838e-06	0.0129537	0.0005888045	3.396912	5.29893	18	141	0.02654867	0.1276596	C3
Disease Ontology	DOID:8857	lupus erythematosus	6	7.639656e-07	0.001707463	0.0002845772	2.528898	13.84002	35	0.03295243	0.08333333	26	1.482365e-05	0.03313086	0.001274264	2.304144	13.45402	31	358	0.04572271	0.08659218	C3
Disease Ontology	DOID:12120	pulmonary alveolar proteinosis	12	6.282427e-06	0.01404122	0.001170102	20.12384	0.2484616	5	0.0005915751	0.01190476	69	0.0005281664	1	0.017108	9.676053	0.4133917	4	11	0.005899705	0.3636364	C3
Disease Ontology	DOID:526	Human immunodeficiency virus infectious disease	13	1.505593e-05	0.03365	0.002588462	3.284652	5.480032	18	0.0130477	0.04285714	35	3.628045e-05	0.08108681	0.002316766	3.225351	4.960701	16	132	0.02359882	0.1212121	C3
Disease Ontology	DOID:0050243	Apicomplexa infectious disease	15	2.274865e-05	0.05084323	0.003389549	3.881619	3.606742	14	0.008587481	0.03333333	120	0.001823485	1	0.03396241	2.814429	3.908431	11	104	0.01622419	0.1057692	C3
Disease Ontology	DOID:1301	RNA virus infectious disease	21	4.367253e-05	0.0976081	0.004648005	2.062675	17.45307	36	0.04155492	0.08571429	112	0.001533521	1	0.03060196	1.755655	18.22682	32	485	0.04719764	0.06597938	C3
Disease Ontology	DOID:9074	systemic lupus erythematosus	23	5.107883e-05	0.1141612	0.00496353	2.346689	11.50557	27	0.02739422	0.06428571	44	9.919279e-05	0.2216959	0.005038543	2.301829	10.86093	25	289	0.03687316	0.08650519	C3
Disease Ontology	DOID:10871	age related macular degeneration	24	5.135526e-05	0.114779	0.004782459	4.10356	2.92429	12	0.006962595	0.02857143	89	0.0009628809	1	0.02418021	3.521799	2.555512	9	68	0.01327434	0.1323529	C3
Disease Ontology	DOID:10591	pre-eclampsia	33	7.82733e-05	0.1749408	0.005301237	2.330747	11.15522	26	0.02656005	0.06190476	42	7.49083e-05	0.1674201	0.003986192	2.391833	10.03414	24	267	0.03539823	0.08988764	C3
Disease Ontology	DOID:2841	asthma	38	0.0001051594	0.2350313	0.006185033	2.074582	15.4248	32	0.0367257	0.07619048	50	0.0001647425	0.3681995	0.00736399	2.116636	13.22854	28	352	0.04129794	0.07954545	C3
Disease Ontology	DOID:4448	macular degeneration	39	0.000107751	0.2408235	0.006174961	3.789459	3.166679	12	0.007539712	0.02857143	105	0.001456174	1	0.0309957	3.326143	2.705837	9	72	0.01327434	0.125	C3
Disease Ontology	DOID:323	Human T-lymphotropic virus 1 infectious disease	50	0.0002405991	0.537739	0.01075478	9.255379	0.5402264	5	0.001286253	0.01190476	123	0.001937513	1	0.03520603	7.095772	0.563716	4	15	0.005899705	0.2666667	C3
Disease Ontology	DOID:3405	histiocytosis	58	0.0003338976	0.7462611	0.01286657	4.784046	1.672225	8	0.003981488	0.01904762	55	0.0002275447	0.5085624	0.009246589	5.478353	1.277756	7	34	0.01032448	0.2058824	C3
Disease Ontology	DOID:2703	synovitis	62	0.0003989854	0.8917324	0.01438278	5.364826	1.304795	7	0.003106655	0.01666667	66	0.0004147849	0.9270443	0.01404613	5.913143	1.014689	6	27	0.008849558	0.2222222	C3
Disease Ontology	DOID:3480	uveal disease	63	0.0004082506	0.9124401	0.01448318	4.143344	2.172159	9	0.005171806	0.02142857	111	0.001532678	1	0.03086068	4.049218	1.728729	7	46	0.01032448	0.1521739	C3
Disease Ontology	DOID:403	mouth disease	68	0.0005740501	1	0.01886768	2.518914	6.748941	17	0.01606891	0.04047619	138	0.003000822	1	0.04860027	2.242344	6.68943	15	178	0.02212389	0.08426966	C3
Disease Ontology	DOID:1040	chronic lymphocytic leukemia	85	0.001038544	1	0.0273076	2.253548	8.431148	19	0.02007416	0.0452381	86	0.0009478798	1	0.02463385	2.432836	6.576686	16	175	0.02359882	0.09142857	C3
Disease Ontology	DOID:350	mastocytosis	86	0.001100828	1	0.02860873	3.594807	2.503611	9	0.005960979	0.02142857	83	0.0008795172	1	0.02368338	4.434857	1.578405	7	42	0.01032448	0.1666667	C3
Disease Ontology	DOID:633	myositis	93	0.001327157	1	0.03189458	2.845759	4.216802	12	0.01004	0.02857143	52	0.0001927561	0.4308099	0.008284805	3.658757	3.006485	11	80	0.01622419	0.1375	C3
Disease Ontology	DOID:14472	hantavirus pulmonary syndrome	97	0.001457672	1	0.03358657	13.76506	0.2179431	3	0.0005189122	0.007142857	102	0.001410332	1	0.03090286	26.60914	0.07516213	2	2	0.002949853	1	C3
Disease Ontology	DOID:349	systemic mastocytosis	109	0.001897043	1	0.03889808	3.640154	2.197709	8	0.005232641	0.01904762	131	0.002368494	1	0.04040904	4.314996	1.390499	6	37	0.008849558	0.1621622	C3
Disease Ontology	DOID:234	colon adenocarcinoma	152	0.003378753	1	0.04968101	2.185211	7.321947	16	0.01743321	0.03809524	71	0.0006161316	1	0.01939513	2.625902	5.712322	15	152	0.02212389	0.09868421	C3
MSigDB Pathway	REACTOME_INTERFERON_GAMMA_SIGNALING	Genes involved in Interferon gamma signaling	2	5.410115e-06	0.007141352	0.003570676	5.705863	1.927842	11	0.004590099	0.02619048	1	1.924928e-06	0.002540905	0.002540905	5.321829	2.254864	12	60	0.01769912	0.2	C3
MSigDB Pathway	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Genes involved in Cytokine Signaling in Immune system	4	6.268012e-05	0.08273776	0.02068444	2.526616	9.103086	23	0.02167401	0.0547619	5	0.0001870785	0.2469436	0.04938872	2.300791	9.996563	23	266	0.0339233	0.08646617	C3
MSigDB Pathway	PID_AP1_PATHWAY	AP-1 transcription factor network	5	0.0001246519	0.1645405	0.0329081	3.494929	3.719675	13	0.008856368	0.03095238	2	5.591285e-05	0.07380496	0.03690248	4.181437	2.630675	11	70	0.01622419	0.1571429	C3
