Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	group
GO Biological Process	GO:0034138	toll-like receptor 3 signaling pathway	115	1.627636e-12	1.699252e-08	1.47761e-10	2.445547	32.71251	80	0.008465972	0.02070393	190	0.0004015092	1	0.02206187	2.560096	6.249764	16	81	0.01149425	0.1975309	IFNG
GO Biological Process	GO:0002756	MyD88-independent toll-like receptor signaling pathway	117	2.101493e-12	2.193959e-08	1.875178e-10	2.432633	32.88618	80	0.008510915	0.02070393	181	0.0003466245	1	0.01999315	2.592098	6.172607	16	80	0.01149425	0.2	IFNG
GO Biological Process	GO:0002158	osteoclast proliferation	118	2.146072e-12	2.240499e-08	1.898728e-10	8.204359	2.437728	20	0.0006308821	0.005175983	203	0.0004584285	1	0.02357632	12.96049	0.2314728	3	3	0.002155172	1	IFNG
GO Biological Process	GO:0002755	MyD88-dependent toll-like receptor signaling pathway	125	4.226324e-12	4.412282e-08	3.529826e-10	2.339312	35.908	84	0.009292959	0.02173913	213	0.0005339974	1	0.02617339	2.498407	6.40408	16	83	0.01149425	0.1927711	IFNG
GO Biological Process	GO:0034121	regulation of toll-like receptor signaling pathway	129	6.870828e-12	7.173144e-08	5.560577e-10	4.039277	8.912486	36	0.002306544	0.00931677	234	0.0008445237	1	0.03767875	3.430718	2.623358	9	34	0.006465517	0.2647059	IFNG
GO Biological Process	GO:0032020	ISG15-protein conjugation	136	9.128116e-12	9.529753e-08	7.007171e-10	7.556713	2.646653	20	0.0006849517	0.005175983	84	1.525451e-05	0.1592571	0.001895918	10.80041	0.4629455	5	6	0.003591954	0.8333333	IFNG
GO Biological Process	GO:0071219	cellular response to molecule of bacterial origin	144	1.692954e-11	1.767444e-07	1.227392e-09	2.17978	42.2061	92	0.0109229	0.02380952	103	3.278509e-05	0.3422763	0.003323071	2.64243	7.947231	21	103	0.01508621	0.2038835	IFNG
GO Biological Process	GO:0060759	regulation of response to cytokine stimulus	152	3.294483e-11	3.43944e-07	2.26279e-09	2.294944	34.85923	80	0.009021541	0.02070393	229	0.0007814885	1	0.03562769	2.343918	7.252813	17	94	0.01221264	0.1808511	IFNG
GO Biological Process	GO:0034146	toll-like receptor 5 signaling pathway	156	4.704856e-11	4.91187e-07	3.148634e-09	2.398977	30.01279	72	0.007767285	0.01863354	183	0.0003610809	1	0.02059937	2.79149	5.015243	14	65	0.01005747	0.2153846	IFNG
GO Biological Process	GO:0034166	toll-like receptor 10 signaling pathway	156	4.704856e-11	4.91187e-07	3.148634e-09	2.398977	30.01279	72	0.007767285	0.01863354	183	0.0003610809	1	0.02059937	2.79149	5.015243	14	65	0.01005747	0.2153846	IFNG
GO Biological Process	GO:0060416	response to growth hormone stimulus	161	6.294028e-11	6.570965e-07	4.081345e-09	2.863036	18.16254	52	0.00470045	0.01345756	157	0.0001703354	1	0.01132676	3.811908	2.623358	10	34	0.007183908	0.2941176	IFNG
GO Biological Process	GO:0032642	regulation of chemokine production	167	9.556175e-11	9.976647e-07	5.97404e-09	2.828485	18.3844	52	0.004757867	0.01345756	223	0.0006941452	1	0.0324972	2.880109	4.16651	12	54	0.00862069	0.2222222	IFNG
GO Biological Process	GO:0044208	'de novo' AMP biosynthetic process	172	1.885193e-10	1.968141e-06	1.144268e-08	13.69209	0.8764187	12	0.0002268164	0.00310559	203	0.0004584285	1	0.02357632	12.96049	0.2314728	3	3	0.002155172	1	IFNG
GO Biological Process	GO:0071222	cellular response to lipopolysaccharide	173	1.921182e-10	2.005714e-06	1.159372e-08	2.116349	41.58104	88	0.01076114	0.02277433	115	4.936675e-05	0.5153889	0.004481642	2.644998	7.561443	20	98	0.01436782	0.2040816	IFNG
GO Biological Process	GO:0034123	positive regulation of toll-like receptor signaling pathway	183	3.010689e-10	3.143159e-06	1.717573e-08	6.169571	3.241716	20	0.0008389535	0.005175983	218	0.0005683628	1	0.02721884	5.184195	1.157364	6	15	0.004310345	0.4	IFNG
GO Biological Process	GO:0071216	cellular response to biotic stimulus	195	7.111531e-10	7.424438e-06	3.807404e-08	2.021448	45.51193	92	0.01177845	0.02380952	158	0.0001737008	1	0.01147745	2.366698	8.873122	21	115	0.01508621	0.1826087	IFNG
GO Biological Process	GO:0045428	regulation of nitric oxide biosynthetic process	200	9.638713e-10	1.006282e-05	5.031408e-08	2.768293	17.33921	48	0.004487372	0.01242236	251	0.001084482	1	0.04510754	3.085831	3.240619	10	42	0.007183908	0.2380952	IFNG
GO Biological Process	GO:0044252	negative regulation of multicellular organismal metabolic process	219	3.390537e-09	3.539721e-05	1.616311e-07	5.337823	3.746846	20	0.0009696807	0.005175983	155	0.0001656383	1	0.01115654	10.36839	0.3857879	4	5	0.002873563	0.8	IFNG
GO Biological Process	GO:0071260	cellular response to mechanical stimulus	282	2.491063e-08	0.000260067	9.222233e-07	2.386111	21.79278	52	0.005639954	0.01345756	243	0.0009791606	1	0.04206764	2.777248	4.320825	12	56	0.00862069	0.2142857	IFNG
GO Biological Process	GO:0034112	positive regulation of homotypic cell-cell adhesion	304	4.856251e-08	0.0005069926	1.667739e-06	4.527996	4.416965	20	0.001143107	0.005175983	208	0.000466406	1	0.02340999	8.640326	0.4629455	4	6	0.002873563	0.6666667	IFNG
GO Biological Process	GO:0050871	positive regulation of B cell activation	335	1.189885e-07	0.00124224	3.708179e-06	2.190466	25.56534	56	0.006616288	0.01449275	173	0.0002665517	1	0.01608555	3.008685	4.320825	13	56	0.00933908	0.2321429	IFNG
MSigDB Pathway	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Genes involved in Cytokine Signaling in Immune system	1	2.377214e-47	3.137922e-44	3.137922e-44	2.913489	83.74839	244	0.02167401	0.063147	1	1.078704e-09	1.423889e-06	1.423889e-06	2.484906	20.52392	51	266	0.03663793	0.1917293	IFNG
MSigDB Pathway	REACTOME_INTERFERON_SIGNALING	Genes involved in Interferon Signaling	3	3.358999e-38	4.433879e-35	1.47796e-35	3.729951	37.53401	140	0.00971377	0.03623188	5	5.972823e-06	0.007884126	0.001576825	2.440611	11.88227	29	154	0.02083333	0.1883117	IFNG
MSigDB Pathway	REACTOME_INNATE_IMMUNE_SYSTEM	Genes involved in Innate Immune System	4	6.013358e-34	7.937633e-31	1.984408e-31	2.638736	77.30974	204	0.0200077	0.05279503	7	9.952872e-06	0.01313779	0.001876827	2.016076	20.83255	42	270	0.03017241	0.1555556	IFNG
MSigDB Pathway	REACTOME_INTERFERON_GAMMA_SIGNALING	Genes involved in Interferon gamma signaling	5	3.434397e-30	4.533404e-27	9.066808e-28	4.736091	17.73614	84	0.004590099	0.02173913	3	3.410173e-07	0.0004501428	0.0001500476	3.888147	4.629455	18	60	0.01293103	0.3	IFNG
MSigDB Pathway	REACTOME_SIGNALING_BY_ILS	Genes involved in Signaling by Interleukins	8	5.441462e-25	7.18273e-22	8.978412e-23	3.010559	39.8597	120	0.01031566	0.0310559	6	6.590479e-06	0.008699432	0.001449905	2.760104	8.333019	23	108	0.01652299	0.212963	IFNG
MSigDB Pathway	PID_IL4_2PATHWAY	IL4-mediated signaling events	9	2.600889e-21	3.433173e-18	3.814637e-19	3.567935	22.42193	80	0.005802778	0.02070393	13	0.0002140422	0.2825357	0.02173352	2.926562	4.78377	14	62	0.01005747	0.2258065	IFNG
MSigDB Pathway	REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	Genes involved in Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	11	1.200759e-20	1.585002e-17	1.440911e-18	4.178346	15.31707	64	0.003964044	0.01656315	11	0.0001399353	0.1847146	0.01679224	3.380997	3.549249	12	46	0.00862069	0.2608696	IFNG
MSigDB Pathway	PID_ATF2_PATHWAY	ATF-2 transcription factor network	12	8.109621e-20	1.07047e-16	8.920583e-18	3.244057	25.8935	84	0.006701216	0.02173913	24	0.0004596282	0.6067092	0.02527955	2.855701	4.552298	13	59	0.00933908	0.220339	IFNG
MSigDB Pathway	PID_A6B1_A6B4_INTEGRIN_PATHWAY	a6b1 and a6b4 Integrin signaling	13	4.498542e-19	5.938075e-16	4.56775e-17	3.689769	18.42934	68	0.004769498	0.01759834	4	5.67141e-06	0.007486261	0.001871565	3.944497	3.549249	14	46	0.01005747	0.3043478	IFNG
MSigDB Pathway	PID_IL6_7PATHWAY	IL6-mediated signaling events	14	3.437569e-18	4.537591e-15	3.241136e-16	3.26009	23.31224	76	0.006033187	0.01966874	9	3.809007e-05	0.05027889	0.005586544	3.584816	3.626407	13	47	0.00933908	0.2765957	IFNG
MSigDB Pathway	REACTOME_REGULATION_OF_IFNG_SIGNALING	Genes involved in Regulation of IFNG signaling	15	3.828029e-18	5.052998e-15	3.368666e-16	6.609217	5.446939	36	0.001409663	0.00931677	15	0.0002229686	0.2943186	0.01962124	5.981764	1.003049	6	13	0.004310345	0.4615385	IFNG
MSigDB Pathway	PID_IL2_1PATHWAY	IL2-mediated signaling events	20	4.203546e-15	5.548681e-12	2.77434e-13	3.054313	22.2636	68	0.005761801	0.01759834	14	0.000220022	0.290429	0.02074493	3.063388	4.243667	13	55	0.00933908	0.2363636	IFNG
MSigDB Pathway	REACTOME_TRIF_MEDIATED_TLR3_SIGNALING	Genes involved in TRIF mediated TLR3 signaling	22	5.389798e-15	7.114533e-12	3.233879e-13	2.740949	29.18698	80	0.007553565	0.02070393	20	0.0003309859	0.4369014	0.02184507	2.700102	5.555346	15	72	0.01077586	0.2083333	IFNG
MSigDB Pathway	PID_INTEGRIN4_PATHWAY	Alpha6 beta4 integrin-ligand interactions	23	5.411928e-15	7.143745e-12	3.105976e-13	5.913896	5.410984	32	0.001400358	0.008281573	10	6.871666e-05	0.09070599	0.009070599	7.069357	0.8487334	6	11	0.004310345	0.5454545	IFNG
MSigDB Pathway	PID_AP1_PATHWAY	AP-1 transcription factor network	24	8.568748e-15	1.131075e-11	4.712811e-13	2.57152	34.22101	88	0.008856368	0.02277433	17	0.0002391038	0.315617	0.01856571	2.777248	5.401031	15	70	0.01077586	0.2142857	IFNG
MSigDB Pathway	REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	Genes involved in Growth hormone receptor signaling	25	4.43784e-13	5.857949e-10	2.34318e-11	3.739314	11.76686	44	0.003045255	0.01138716	18	0.0002951408	0.3895859	0.02164366	4.320163	1.851782	8	24	0.005747126	0.3333333	IFNG
MSigDB Pathway	REACTOME_TOLL_RECEPTOR_CASCADES	Genes involved in Toll Receptor Cascades	28	9.870874e-13	1.302955e-09	4.653412e-11	2.17358	47.84733	104	0.01238285	0.02691511	12	0.0001737008	0.2292851	0.01910709	2.366698	8.873122	21	115	0.01508621	0.1826087	IFNG
MSigDB Pathway	BIOCARTA_DREAM_PATHWAY	Repression of Pain Sensation by the Transcriptional Regulator DREAM	38	1.756676e-11	2.318812e-08	6.102138e-10	4.925986	5.684142	28	0.001471051	0.007246377	8	3.391545e-05	0.04476839	0.005596049	6.480244	1.080206	7	14	0.005028736	0.5	IFNG
MSigDB Pathway	PID_HIVNEFPATHWAY	HIV-1 Nef: Negative effector of Fas and TNF-alpha	43	3.685674e-11	4.86509e-08	1.131416e-09	3.797303	9.480413	36	0.002453523	0.00931677	29	0.0008445237	1	0.03844039	3.430718	2.623358	9	34	0.006465517	0.2647059	IFNG
MSigDB Pathway	REACTOME_IL1_SIGNALING	Genes involved in Interleukin-1 signaling	46	5.855821e-11	7.729684e-08	1.680366e-09	3.021298	15.88721	48	0.004111597	0.01242236	26	0.000719581	0.9498469	0.03653257	3.240122	3.086303	10	40	0.007183908	0.25	IFNG
MSigDB Pathway	REACTOME_THE_NLRP3_INFLAMMASOME	Genes involved in The NLRP3 inflammasome	48	9.498707e-11	1.253829e-07	2.612144e-09	6.601427	3.029648	20	0.0007840703	0.005175983	30	0.0008451605	1	0.03718706	5.891131	0.8487334	5	11	0.003591954	0.4545455	IFNG
MSigDB Pathway	REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE	Genes involved in NFkB and MAP kinases activation mediated by TLR4 signaling repertoire	49	1.418043e-10	1.871817e-07	3.820034e-09	2.33766	30.80003	72	0.007971023	0.01863354	28	0.0007963946	1	0.03754432	2.592098	5.401031	14	70	0.01005747	0.2	IFNG
MSigDB Pathway	BIOCARTA_CARM1_PATHWAY	Transcription Regulation by Methyltransferase of CARM1	59	6.440443e-10	8.501385e-07	1.440913e-08	4.845231	4.953324	24	0.001281916	0.00621118	15	0.0002229686	0.2943186	0.01962124	5.981764	1.003049	6	13	0.004310345	0.4615385	IFNG
MSigDB Pathway	PID_NFAT_TFPATHWAY	Calcineurin-regulated NFAT-dependent transcription in lymphocytes	66	3.332055e-09	4.398313e-06	6.66411e-08	2.359037	25.4341	60	0.006582325	0.01552795	27	0.0007232945	0.9547487	0.03536106	3.033306	3.626407	11	47	0.007902299	0.2340426	IFNG
MSigDB Pathway	BIOCARTA_PPARA_PATHWAY	Mechanism of Gene Regulation by Peroxisome Proliferators via PPARa(alpha)	71	6.136597e-09	8.100308e-06	1.140888e-07	2.248047	28.46915	64	0.007367793	0.01656315	21	0.0003851797	0.5084372	0.0242113	2.904937	4.47514	13	58	0.00933908	0.2241379	IFNG
MSigDB Pathway	REACTOME_SIGNALING_BY_FGFR1_MUTANTS	Genes involved in Signaling by FGFR1 mutants	117	6.122285e-07	0.0008081416	6.907193e-06	2.571116	14.0017	36	0.003623629	0.00931677	34	0.001217482	1	0.04726695	3.575307	2.23757	8	29	0.005747126	0.2758621	IFNG
